ID,Qualifications,Employment_Type,Age,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
22,OTHERS,SEP,29,735214,Female,SC,104326,83.8,O,25000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
23,SSC,SAL,24,141001,Male,MC,98941,85.24,O,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
24,HSC,SAL,24,782142,Male,MC,86245,69.55,O,31100,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
25,HSC,NREGI,21,742235,Male,SC,84517,66.26,O,30000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
26,OTHERS,AGR,52,783332,Male,MC,93649,73.62,O,27000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
27,OTHERS,SEP,34,735214,Female,SC,113391,89.64,O,25000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
28,OTHERS,AGR,21,735304,Male,MC,87000,46.2,O,30000,07 Rural,RONIN,TVS RONIN 1CH BASE BSVI,RONIN,NO_PAST_LOANS,APPROVED
29,SSC,SEP,31,142026,Male,SC,95750,89.24,O,35000,06 Semi-Urban,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
30,HSC,SEP,36,788722,Male,MO,57074,69.98,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
31,GRAD,SAL,29,782402,Female,SC,111788,94.41,O,40000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
32,PG,SAL,56,533125,Male,SC,99209,83.07,O,28000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
33,UG,SAL,29,794101,Female,SC,98499,79.9,O,25000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
34,HSC,SAL,31,788112,Male,MC,107839,85.22,O,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
35,SSC,AGR,47,782441,Male,MC,87700,83.52,O,38000,07 Rural,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,NO_PAST_LOANS,APPROVED
36,HSC,AGR,21,783336,Male,MC,87778,71.95,O,30000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
37,HSC,SEP,20,722205,Male,MC,78500,61.52,O,32000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
38,HSC,SAL,48,785621,Male,MO,77447,94.97,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
39,SSC,AGR,33,713406,Male,MC,140000,88.23,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
40,HSC,AGR,34,722206,Male,MC,50300,53.52,O,32000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
41,OTHERS,SAL,23,713325,Male,MC,92533,55.13,O,25000,05 Urban,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
42,OTHERS,SEP,26,721150,Male,MO,48700,60.72,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
43,HSC,SEP,38,722138,Male,MO,66953,83.48,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
44,OTHERS,SAL,20,723145,Male,MC,105756,68.23,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
45,HSC,SEP,23,794005,Female,SC,103975,84,O,25000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
46,HSC,SEP,24,734124,Male,SC,77999,62.77,O,30000,,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
47,HSC,SEP,35,741156,Male,SC,106708,82.26,O,30000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,NO_PAST_LOANS,APPROVED
48,OTHERS,SEP,59,700018,Male,SC,78308,75.21,O,25000,02 Megapolis (B),JUPITER,JUPITER ZX BSVI â€“ ZX DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
49,OTHERS,SAL,34,700028,Male,MC,67160,81.54,O,20000,05 Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
50,HSC,SEP,48,712223,Male,MC,75140,61.29,O,40000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
51,HSC,SEP,35,741202,Female,SC,98672,84.34,O,18000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
52,SSC,SEP,31,741154,Male,MC,53117,52.75,O,30100,07 Rural,RADEON,TVS RADEON BSVI DIGI DRUM DUAL TONE,RADEON,PAST_LOANS_ACTIVE,APPROVED
53,HSC,NREGI,54,741317,Female,SC,116318,89.67,O,29500,06 Semi-Urban,NTORQ,NTORQ 125 XT BSVI,125 CC,NO_PAST_LOANS,APPROVED
54,HSC,SEP,25,712406,Male,MC,131603,86.58,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
55,HSC,NREGI,46,624004,Male,MO,69726,88.15,O,35000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
56,OTHERS,NREGI,64,625218,Male,MO,73000,88.06,O,20000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
57,OTHERS,SEP,62,625218,Male,MO,71500,86.25,O,30000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
58,OTHERS,SEP,62,625205,Male,MO,65700,79.05,O,28000,07 Rural,MOPEDS,TVS XL 100 COM ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
59,HSC,AGR,31,623538,Female,SC,114811,91.47,O,35000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
60,OTHERS,NREGI,48,623704,Male,MO,73110,92.43,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
61,OTHERS,AGR,57,630557,Male,MC,131925,75.9,O,45000,06 Semi-Urban,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
62,OTHERS,SEP,35,625218,Male,MO,73262,88.38,O,25000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
63,OTHERS,SAL,34,625604,Male,SC,120416,91.32,O,35000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,DECLINED
64,HSC,NREGI,48,624005,Male,SC,93624,74.6,O,35000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
65,OTHERS,SEP,59,625218,Male,SC,86856,86.97,O,20000,06 Semi-Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
66,HSC,SAL,51,624201,Male,MC,80591,90.69,O,35000,06 Semi-Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
67,OTHERS,AGR,38,625520,Female,MO,75500,91.07,O,38000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
68,UG,SAL,24,630602,Female,SC,132616,91.78,O,35000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
69,OTHERS,SEP,38,624201,Male,MC,124705,90.37,O,25000,06 Semi-Urban,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
70,HSC,SEP,28,712246,Male,MC,76165,64.43,O,41000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
71,HSC,SAL,39,713330,Male,MC,107385,68.62,O,30000,05 Urban,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
72,HSC,SEP,21,712406,Male,MC,134935,90.68,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
73,GRAD,SEP,47,741126,Male,MC,54520,45.43,O,45000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
74,PG,SAL,21,700011,Male,MC,107845,89.13,O,35000,02 Megapolis (B),RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
75,OTHERS,STU,18,743503,Male,SC,77129,63.74,O,,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
76,HSC,NREGI,20,741402,Male,MC,52000,43.7,O,20000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,NO_PAST_LOANS,APPROVED
77,HSC,SAL,21,623120,Male,MC,118794,87.51,O,25000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
78,GRAD,SEP,29,700034,Female,SC,73229,78.74,O,40000,02 Megapolis (B),ZEST,SCOOTY ZEST - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
79,OTHERS,AGR,30,524312,Male,MO,69652,86.42,O,36500,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
80,OTHERS,AGR,58,523320,Male,MO,49655,61.57,O,25000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
81,OTHERS,SEP,40,524001,Female,SC,107450,86.31,O,38000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
82,UG,SAL,35,523001,Male,SC,106892,80.08,O,45000,05 Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
83,OTHERS,SAL,37,524306,Male,MC,75803,86.63,O,20000,06 Semi-Urban,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
84,OTHERS,AGR,38,523110,Female,MO,70301,83.39,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
85,SSC,SEP,29,524342,Male,MC,76041,86.9,O,65000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,PAST_LOANS_ACTIVE,APPROVED
86,OTHERS,SAL,37,524344,Male,SC,113352,84.92,O,29000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
87,OTHERS,SAL,53,524228,Male,MC,74299,84.91,O,82000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,PAST_LOANS_ACTIVE,APPROVED
88,SSC,AGR,55,524230,Male,MO,56140,66.56,O,41255,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
89,UG,SAL,21,523247,Male,MC,105689,82.18,O,25000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
90,HSC,SEP,48,524315,Male,MO,77597,92,O,32000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
91,OTHERS,SAL,39,524101,Female,SC,84882,84.81,O,36800,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
92,OTHERS,SAL,49,524121,Female,SC,91843,91.84,O,29000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
93,OTHERS,SAL,30,524301,Male,MC,113353,84.11,O,42600,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
94,UG,SAL,29,523271,Male,MC,106734,83,O,25000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
95,SSC,SEP,45,523183,Male,SC,104176,86.17,O,41255,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
96,PG,SAL,38,524228,Male,MC,93926,74.54,O,38500,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
97,OTHERS,SAL,28,524225,Male,MC,121978,90.51,O,27260,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,DECLINED
98,OTHERS,AGR,56,523369,Male,MO,69280,82.18,O,28000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
99,OTHERS,SEP,32,523212,Male,SC,112864,87.83,O,28000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
100,GRAD,SAL,23,524412,Male,SC,86662,64.92,O,30000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
101,OTHERS,SAL,40,523112,Male,MC,76097,86.97,O,36500,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
102,OTHERS,SEP,21,524218,Male,MC,113582,88.32,O,32000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
103,HSC,SEP,57,524301,Male,SC,91699,91.63,O,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
104,SSC,SEP,56,523280,Male,SC,56000,55.95,O,25000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
105,OTHERS,SAL,44,524101,Male,MO,66768,79.16,O,55000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
106,SSC,SEP,25,736145,Male,MC,139688,89.03,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
107,OTHERS,SAL,54,722158,Male,MO,50000,60.09,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
108,HSC,NREGI,24,731221,Male,MC,113200,69.98,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
109,SSC,AGR,21,723101,Male,MC,59500,37.9,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
110,OTHERS,NREGI,24,721150,Male,MC,112000,66.31,O,35000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
111,OTHERS,AGR,35,521148,Female,MO,67168,83.28,O,20000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,DECLINED
112,HSC,AGR,53,522101,Male,MO,66373,82.3,O,34500,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
113,OTHERS,SAL,25,522603,Male,MO,71315,84.55,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
114,GRAD,SAL,22,522501,Female,SC,90630,90.55,O,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
115,SSC,SAL,39,522235,Female,MO,73127,86.7,O,29000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
116,GRAD,SAL,27,520008,Male,EB,119114,79.41,O,25000,04 Metro,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
117,UG,SAL,34,521230,Female,SC,114094,85.48,O,35000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
118,OTHERS,SEP,40,522202,Male,SC,86912,86.84,O,40000,05 Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
119,SSC,SAL,28,521132,Male,SC,60632,59.88,O,25000,07 Rural,JUPITER,JUPITER BSVI - SMW,110 CC,PAST_LOANS_ACTIVE,APPROVED
120,OTHERS,AGR,28,522413,Female,SC,108534,81.31,O,45000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,DECLINED
121,OTHERS,AGR,43,523171,Male,MC,72824,75.08,O,250000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,PAST_LOANS_ACTIVE,APPROVED
122,GRAD,SAL,24,522019,Male,SC,107311,86.19,O,32000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
123,GRAD,SAL,43,520004,Male,MO,70064,86.87,O,35000,04 Metro,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
124,GRAD,SAL,24,520001,Female,SC,107012,88.51,O,30000,04 Metro,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
125,OTHERS,SEP,58,522647,Female,SC,83583,60.35,O,55000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
126,UG,SAL,30,522212,Male,EB,99221,59.77,O,116000,06 Semi-Urban,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
127,SSC,AGR,32,522647,Female,MO,73666,91.34,O,29500,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
128,OTHERS,SAL,22,521301,Male,SC,116698,90.82,O,20000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
129,SSC,SAL,34,520001,Male,MO,71170,88.25,O,23000,04 Metro,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
130,SSC,AGR,36,522411,Male,MO,74193,91.99,O,26500,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
131,UG,SAL,27,522001,Male,MC,98215,77.95,O,70000,05 Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
132,OTHERS,NREGI,53,522324,Male,MO,56892,67.45,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
133,PG,SAL,43,522237,Male,SC,103482,85.59,O,27000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
134,SSC,SAL,39,522265,Female,SC,79362,79.3,O,25000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
135,GRAD,SEP,41,560032,Male,SC,89000,75.1,R,50000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
136,OTHERS,NREGI,42,560049,Male,MO,50427,75.83,R,35000,02 Megapolis (B),MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
137,SSC,NREGI,28,562130,Male,SC,102635,84.48,O,30000,05 Urban,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
138,GRAD,SEP,55,560040,Male,EB,132998,83.13,O,40000,02 Megapolis (B),TVS,TVS IQUBE S,EBIKE,NO_PAST_LOANS,APPROVED
139,GRAD,SEP,49,560091,Male,EB,101793,69.48,O,40000,02 Megapolis (B),TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
140,GRAD,SEP,49,560096,Female,SC,82000,87.65,O,20000,02 Megapolis (B),ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
141,GRAD,NREGI,48,560002,Male,SC,94828,79.98,O,90000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
142,SSC,SEP,37,563146,Female,SC,89144,72.71,O,30000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
143,OTHERS,NREGI,26,576101,Male,SC,104728,87.46,R,30000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
144,OTHERS,AGR,31,522619,Male,SC,108341,89.61,O,38000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
145,SSC,SEP,57,521235,Female,SC,88623,79.01,O,25000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
146,OTHERS,NREGI,53,521321,Male,SC,106418,88.02,O,20000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
